objid,ra,dec,photoz,photozerr,specz,speczerr,proj_sep,umag,umagerr,gmag,gmagerr,rmag,rmagerr,obj_type
1.23767176854248E+018,257.82458,64.133257,0.079193,0.022867,0.08244731,0.00001657283,8.34773316331893,18.96488,0.04337703,17.49815,0.005671791,16.75003,0.004707855,3
1.23767176854248E+018,257.82458,64.133257,0.079193,0.022867,0.08246633,0.0000143452,8.34773316331893,18.96488,0.04337703,17.49815,0.005671791,16.75003,0.004707855,3
1.23767176854248E+018,257.83332,64.126043,0.091507,0.014511,0.08121841,0.00002131049,8.01125941762232,20.22848,0.07201946,18.38334,0.007762768,17.46793,0.005827651,3
1.23767176854254E+018,257.85137,64.173247,0.081102,0.009898,0.07956107,0.00002217769,8.73927598457626,19.21829,0.05013492,17.1897,0.004936492,16.22043,0.003769081,3
1.23767176854254E+018,257.85137,64.173247,0.081102,0.009898,0.07956772,0.00001945445,8.73927598457626,19.21829,0.05013492,17.1897,0.004936492,16.22043,0.003769081,3
1.23767176854254E+018,257.89303,64.141138,0.099849,0.015622,0.08084181,0.00002616243,6.83964153849707,20.34384,0.06891979,18.49229,0.007700486,17.55583,0.005848154,3
1.23767176854254E+018,257.91585,64.10729,0.1027,0.017577,0.08457541,0.00001578086,5.66610779907602,19.52582,0.04824828,17.73949,0.005820634,16.85169,0.004576577,3
1.23767176854254E+018,257.91496,64.168562,0.069385,0.021542,0.07678494,0.00001017025,7.22895011636539,19.14496,0.07153188,17.7209,0.008737966,16.99698,0.007720937,3
1.23767176854254E+018,257.91496,64.168562,0.069385,0.021542,0.07677556,0.000008323531,7.22895011636539,19.14496,0.07153188,17.7209,0.008737966,16.99698,0.007720937,3
1.23767176854254E+018,257.93432,64.112149,0.060484,0.014358,0.083265,0.00001552173,5.24559980841963,18.43272,0.03953465,17.00699,0.005047707,16.40314,0.004619239,3
1.23767176854254E+018,257.93432,64.112149,0.060484,0.014358,0.08332978,0.00001272519,5.24559980841963,18.43272,0.03953465,17.00699,0.005047707,16.40314,0.004619239,3
1.23767176854254E+018,257.9528,64.152581,0.091225,0.015446,0.08277614,0.000008904534,5.85921880801866,18.68809,0.03714531,17.46909,0.006045048,16.83695,0.005314413,3
1.23767176854254E+018,257.9528,64.152581,0.091225,0.015446,0.08279027,0.000008353605,5.85921880801866,18.68809,0.03714531,17.46909,0.006045048,16.83695,0.005314413,3
1.23767176854254E+018,257.93802,64.204363,0.081008,0.019602,0.08207516,0.00001001438,8.36496672167737,19.41077,0.05705504,18.13543,0.008015431,17.57437,0.007839197,3
1.23767176854254E+018,257.93802,64.204363,0.081008,0.019602,0.08209289,0.00000714107,8.36496672167737,19.41077,0.05705504,18.13543,0.008015431,17.57437,0.007839197,3
1.23767176854254E+018,257.95663,64.168201,0.077933,0.016806,0.07728186,0.000025976,6.40551751164203,20.34147,0.1189157,18.23995,0.008796768,17.37372,0.006650358,3
1.23767176854254E+018,257.98049,64.141747,0.122827,0.022213,0.08294442,0.00003443201,4.88885590194946,19.89911,0.08734721,18.37615,0.009626696,17.51081,0.007317014,3
1.23767176854254E+018,258.01999,64.145244,0.075194,0.010869,0.07933185,0.00003170574,4.26354825427288,19.57901,0.06203061,17.76373,0.006529275,16.88235,0.005018086,3
1.23767176854254E+018,258.01999,64.145244,0.075194,0.010869,0.07933438,0.00002556883,4.26354825427288,19.57901,0.06203061,17.76373,0.006529275,16.88235,0.005018086,3
1.23767176854254E+018,258.02871,64.142159,0.081442,0.019932,0.08237245,0.00002040104,3.97763525816346,19.6608,0.0499794,17.98673,0.006431109,17.41494,0.0210136,3
1.23767176854254E+018,258.05701,64.141009,0.065652,0.010237,0.0736187,0.00002740615,3.46845400228842,19.24696,0.06259227,17.34149,0.005955729,16.46408,0.004594705,3
1.23767176854254E+018,258.05701,64.141009,0.065652,0.010237,0.07367305,0.00002242301,3.46845400228842,19.24696,0.06259227,17.34149,0.005955729,16.46408,0.004594705,3
